code,nombre,name
03000000,"Productos de la agricultura, ganadería, pesca, silvicultura y productos afines.","Agricultural, farming, fishing, forestry and related products."
03100000,Productos de la agricultura y horticultura.,Agricultural and horticultural products.
03110000,"Cultivos, productos comerciales de jardinería y horticultura.","Crops, products of market gardening and horticulture."
03111000,Semillas,Seeds.
03111100,Soja.,Soya beans.
03111200,Cacahuetes.,Peanuts.
03111300,Semillas de girasol.,Sunflower seeds.
03111400,Semillas de algodón.,Cotton seeds.
03111500,Semillas de sésamo.,Sesame seeds.
03111600,Semillas de mostaza.,Mustard seeds.
03111700,Semillas de hortalizas.,Vegetable seeds.
03111800,Semillas de frutos.,Fruit seeds.
03111900,Semillas de flores.,Flower seeds.
03112000,Tabaco sin elaborar.,Unmanufactured tobacco.
03113000,Plantas utilizadas para la fabricación de azúcar.,Plants used for sugar manufacturing.
03113100,Remolacha azucarera.,Sugar beet.
03113200,Caña de azúcar.,Sugar cane.
03114000,Paja y plantas forrajeras.,Straw and forage.
03114100,Paja.,Straw.
03114200,Plantas forrajeras.,Forage.
03115000,Materias vegetales en bruto.,Raw vegetable materials.
03115100,Materias vegetales en bruto utilizadas en la fabricación de textiles.,Raw vegetable materials used in textile production.
03115110,Algodón.,Cotton.
03115120,Yute.,Jute.
03115130,Lino.,Flax.
03116000,Caucho y látex naturales y productos afines.,Natural rubber and latex and associated products.
03116100,Caucho natural.,Natural rubber.
03116200,Látex natural.,Natural latex.
03116300,Productos de látex.,Latex products.
03117000,Plantas utilizadas para usos específicos.,Plants used in specific fields.
03117100,"Plantas utilizadas en perfumería o farmacia, o en la elaboración de insecticidas o con fines análogos.","Plants used in perfumery or pharmacy, or for insecticidal or similar purposes."
03117110,Plantas utilizadas en perfumería.,Plants used in perfumery.
03117120,Plantas utilizadas en farmacia.,Plants used in pharmacy.
03117130,Plantas utilizadas en la elaboración de insecticidas.,Plants used for insecticidal purposes.
03117140,Plantas utilizadas en la elaboración de pesticidas o fungicidas o con fines análogos.,Plants used for fungicidal or similar purposes.
03117200,Semillas de plantas utilizadas para usos específicos.,Seeds of plants used in specific fields.
03120000,Productos de horticultura y viveros.,Horticultural and nursery products.
03121000,Productos de horticultura.,Horticultural products.
03121100,"Plantas vivas, bulbos, raíces y esquejes.","Live plants, bulbs, roots, cuttings and slips."
03121200,Flores cortadas.,Cut flowers.
03121210,Arreglos florales.,Floral arrangements.
03130000,Cultivos de especias y de plantas para bebidas.,Beverage and spice crops.
03131000,Cultivos de plantas para bebidas.,Beverage crops.
03131100,Café en grano.,Coffee beans.
03131200,Plantas de té.,Tea bushes.
03131300,Mate.,Maté.
03131400,Cacao en grano.,Cocoa beans.
03132000,Especias no manufacturadas.,Unprocessed spices.
03140000,Productos de origen animal y productos afines.,Animal products and related products.
03141000,Semen de toro.,Bulls’ semen.
03142000,Productos de origen animal.,Animal products.
03142100,Miel natural.,Natural honey.
03142200,Caracoles.,Snails.
03142300,Productos comestibles de origen animal.,Edible products of animal origin.
03142400,Ceras.,Waxes.
03142500,Huevos.,Eggs.
03143000,Productos de cultivo mixto.,Products of mixed farming.
03144000,Productos para la agricultura.,Agricultural supplies.
03200000,"Cereales, patatas, hortalizas, frutas y frutos de cáscara.","Cereals, potatoes, vegetables, fruits and nuts."
03210000,Cereales y patatas.,Cereals and potatoes.
03211000,Cereales.,Cereals.
03211100,Trigo.,Wheat.
03211110,Trigo duro.,Durum wheat.
03211120,Trigo blando.,Soft wheat.
03211200,Maíz.,Maize.
03211300,Arroz.,Rice.
03211400,Cebada.,Barley.
03211500,Centeno.,Rye.
03211600,Avena.,Oats.
03211700,Malta.,Malt.
03211900,Productos de granos.,Grain products.
03212000,Patatas y legumbres secas.,Potatoes and dried vegetables.
03212100,Patatas.,Potatoes.
03212200,Legumbres y hortalizas leguminosas secas.,Dried leguminous vegetables and pulses.
03212210,Leguminosas secas.,Dried leguminous vegetables.
03212211,Lentejas.,Lentils.
03212212,Garbanzos.,Chick peas.
03212213,Guisantes secos.,Dried peas.
03212220,Legumbres.,Pulses.
03220000,"Hortalizas, frutas y frutos de cáscara.","Vegetables, fruits and nuts."
03221000,Hortalizas.,Vegetables.
03221100,Hortalizas de raíz y tubérculo.,Root and tuber vegetables.
03221110,Hortalizas de raíz.,Root vegetables.
03221111,Remolachas.,Beetroot.
03221112,Zanahorias.,Carrots.
03221113,Cebollas.,Onions.
03221114,Nabos.,Turnips.
03221120,Hortalizas de tubérculo.,Tuber vegetables.
03221200,Frutos hortícolas.,Fruit vegetables.
03221210,Judías.,Beans.
03221211,Habas.,Broad beans.
03221212,Judías verdes.,Green beans.
03221213,Judías pintas.,Runner beans.
03221220,Guisantes.,Peas.
03221221,Guisantes de huerta.,Garden peas.
03221222,Guisantes mollares.,Mange-tout.
03221230,Pimientos.,Peppers.
03221240,Tomates.,Tomatoes.
03221250,Calabacines.,Courgettes.
03221260,Champiñones.,Mushrooms.
03221270,Pepinos.,Cucumbers.
03221300,Hortalizas de hoja.,Leaf vegetables.
03221310,Lechuga.,Lettuce.
03221320,Hojas para ensalada.,Salad leaves.
03221330,Alcachofas.,Artichokes.
03221340,Espinacas.,Spinach.
03221400,Coles.,Cabbage vegetables.
03221410,Repollos.,Cabbage.
03221420,Coliflores.,Cauliflower.
03221430,Brécoles.,Broccoli.
03221440,Coles de Bruselas.,Brussels sprouts.
03222000,Frutas y frutos de cáscara.,Fruit and nuts.
03222100,Frutas y frutos de cáscara tropicales.,Tropical fruit and nuts.
03222110,Frutas tropicales.,Tropical fruit.
03222111,Plátanos.,Bananas.
03222112,Piñas.,Pineapples.
03222113,Mangos.,Mangoes.
03222114,Dátiles.,Dates.
03222115,Pasas.,Raisins.
03222116,Higos.,Figs.
03222117,Aguacates.,Avocados.
03222118,Kiwis.,Kiwi fruit.
03222120,Cocos.,Coconuts.
03222200,Cítricos.,Citrus fruit.
03222210,Limones.,Lemons.
03222220,Naranjas.,Oranges.
03222230,Pomelos.,Grapefruit.
03222240,Naranjas tangerinas.,Tangerines.
03222250,Limas.,Limes.
03222300,Frutas no tropicales.,Non-tropical fruit.
03222310,Bayas.,Berry fruit.
03222311,Pasas de Corinto.,Currants.
03222312,Grosellas silvestres.,Gooseberries.
03222313,Fresas.,Strawberries.
03222314,Frambuesas.,Raspberries.
03222315,Arándanos.,Cranberries.
03222320,"Manzanas, peras y membrillos.","Apples, pears and quinces."
03222321,Manzanas.,Apples.
03222322,Peras.,Pears.
03222323,Membrillos.,Quinces.
03222330,Frutas de hueso.,Stone fruit.
03222331,Albaricoques.,Apricots.
03222332,Melocotones.,Peaches.
