buyer,category,n_tenders,technology_score
"Empresa de Transformación Agraria S.A.,S.M.E., M.P., (TRAGSA)",Other,5272,0
"Dirección General de Renfe Ingeniería y Mantenimiento Sociedad Mercantil Estatal, S.A.",Other,2236,0
"Paradores de Turismo de España, S.M.E., S.A.",Other,1492,0
Dirección General de Racionalización y Centralización de la Contratación-Junta de Contratación Centralizada,Other,987,0
"Dirección General de IBERMUTUA, Mutua Colaboradora con la Seguridad Social nº 274",Other,638,0
Gerencia de la Empresa Municipal Autobuses de Córdoba S.A. (AUCORSA),Other,627,0
ADIF - Presidencia,Other,616,0
Dirección General de Racionalización y Centralización de la Contratación-Junta de Contratación Centralizada,Software & Development,527,663
Servicio Cántabro de Salud,Other,478,0
"Dirección General de Renfe Viajeros Sociedad Mercantil Estatal, S.A.",Other,464,0
"Comité Central de Compras de Navantia S.A., S.M.E.",Other,457,0
Aena. Dirección de Contratación,Other,453,0
"Dirección General de la Mutual Midat Cyclops, Mutua Colaboradora con la Seguridad Social, nº 1",Other,444,0
Dirección Gerencia Hospital Universitario de Gran Canaria Doctor Negrín,Other,426,0
Inspección General de Sanidad de la Defensa,Other,388,0
Concejalía Delegada de Contratación del Ajuntament de València,Other,378,0
Intendente de Rota,Other,376,0
Presidencia de la Diputación Provincial de Alicante,Other,373,0
Dirección General de Racionalización y Centralización de la Contratación-Junta de Contratación Centralizada,Infrastructure & Hardware,372,84
Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,Other,367,0
"Empresa Municipal de Transportes de Madrid, S.A.",Other,356,0
Intendente de Ferrol,Other,333,0
"Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº 10",Other,319,0
"Tecnologías y Servicios Agrarios S.A.,S.M.E., M.P., (TRAGSATEC)",Other,315,0
Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,Other,312,0
Dirección de Compras de la Corporación de Radio y Televisión Española S.A.,Other,310,0
Director Gerente de FREMAP,Other,308,0
Consejero Delegado de la Empresa Municipal de Aguas de Málaga S.A.,Other,307,0
Consejo de Administración-Comité de Inversiones de la Sociedad Estatal Correos y Telégrafos S.A,Other,292,0
Alcaldía del Ayuntamiento de Lucena,Other,289,0
Junta de Gobierno de la Diputación Provincial de Almería,Other,285,0
"Gerencia umivale Activa, Mutua Colaboradora con la Seguridad Social número 3",Other,284,0
Secretaría General de la Agencia Estatal Consejo Superior de Investigaciones Científicas,Other,278,0
Junta de Gobierno del Ayuntamiento de Marbella,Other,271,0
Servicio de Salud de las Illes Balears,Other,268,0
Administrador de Infraestructuras Ferroviarias,Other,266,0
Consejería de Hacienda de la Ciudad Autónoma de Melilla,Other,265,0
Junta de Gobierno del Ayuntamiento de Molina de Segura,Other,258,0
"Área de Gobierno de Economía, Innovación y Hacienda del Ayuntamiento de Madrid",Other,257,0
Presidencia de la Diputación Provincial de Pontevedra,Other,255,0
"Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)",Other,254,0
"Madrid Destino Cultura Turismo y Negocio, S.A.",Other,252,0
Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151,Other,252,0
Gerencia de MAZ Mútua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social nº 11,Other,245,0
Dirección del Ente Público Extremeño de Servicios Educativos Complementarios,Other,235,0
"Área de Gobierno de Urbanismo, Medio Ambiente y Movilidad del Ayuntamiento de Madrid",Other,232,0
Presidencia de la Diputación Provincial de Cáceres,Other,228,0
Alcaldía del Ajuntament de Calp,Other,223,0
"Infraestructures de la Generalitat de Catalunya, SAU",Other,218,0
ADIF Alta Velocidad - Presidencia,Other,217,0
"Consejero Delegado de Ingeniería de Sistemas para la Defensa de España S.A., S.M.E. y M.P.",Other,217,0
"Consejo de Administración de EMAYA, Empresa Municipal d'Aigües i Clavegueram, S.A.",Other,217,0
Jefatura de Intendencia de Asuntos Económicos Sur,Other,216,0
Junta de Gobierno del Ajuntament de València,Other,216,0
Presidencia del Consejo de Administración de la Autoridad Portuaria de Barcelona (PORT DE BARCELONA),Other,212,0
"Consejo de Administración de la Sociedad de Gestión de Activos procedentes de la Reestructuración Bancaria, S.A",Other,209,0
Órganos Directivos del Ayuntamiento de Sevilla,Other,207,0
"Área de Gobierno de Vicealcaldía, Portavoz, Seguridad y Emergencias del Ayuntamiento de Madrid",Other,204,0
Junta de Gobierno del Ayuntamiento de Sevilla,Other,203,0
Sociedad Pública de Infraestructuras y Medio Ambiente de Castilla y León S.A.,Other,202,0
Junta de Gobierno del Ayuntamiento de Málaga,Other,199,0
"Empresa de Transformación Agraria S.A.,S.M.E., M.P., (TRAGSA)",Infrastructure & Hardware,197,185
Junta de Gobierno del Ayuntamiento de Fuengirola,Other,196,0
Intendente de San Fernando,Other,192,0
Aena. Dirección del Aeropuerto Adolfo Suárez Madrid-Barajas,Other,188,0
Junta de Gobierno del Ayuntamiento de Logroño,Other,187,0
